"Statistic Label","Employment Status","Sex","Broad Industrial Group","CensusYear","UNIT","VALUE"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Manufacturing (C)","2016","Number","60836"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Electricity, gas, steam and air conditioning supply (D)","2011","Number","2759"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Electricity, gas, steam and air conditioning supply (D)","2016","Number","3162"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","1710"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","1986"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Construction (F)","2011","Number","7197"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Construction (F)","2016","Number","7211"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","127495"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","126684"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Transportation and storage (H)","2011","Number","15490"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Transportation and storage (H)","2016","Number","17126"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Accommodation and food service activities (I)","2011","Number","55561"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Accommodation and food service activities (I)","2016","Number","61758"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Information and communication (J)","2011","Number","22771"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Information and communication (J)","2016","Number","29202"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Financial and insurance activities (K)","2011","Number","51842"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Financial and insurance activities (K)","2016","Number","47815"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Real estate activities (L)","2011","Number","3884"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Real estate activities (L)","2016","Number","4396"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Professional, scientific and technical activities (M)","2011","Number","44533"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Professional, scientific and technical activities (M)","2016","Number","52899"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Administrative and support service activities (N)","2011","Number","26800"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Administrative and support service activities (N)","2016","Number","31470"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Public administration and defence; compulsory social security (O)","2011","Number","53513"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Public administration and defence; compulsory social security (O)","2016","Number","50383"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Education (P)","2011","Number","125146"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Education (P)","2016","Number","133475"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Human health and social work activities (Q)","2011","Number","159415"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Human health and social work activities (Q)","2016","Number","177034"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Arts, entertainment and recreation (R)","2011","Number","14859"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Arts, entertainment and recreation (R)","2016","Number","15474"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Other service activities (S)","2011","Number","27817"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Other service activities (S)","2016","Number","30842"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Activities of households as employers producing activities of households for own use (T)","2011","Number","1816"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Activities of households as employers producing activities of households for own use (T)","2016","Number","2680"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Activities of extraterritorial organisations and bodies (U)","2011","Number","405"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Activities of extraterritorial organisations and bodies (U)","2016","Number","463"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Industry not stated","2011","Number","41290"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Industry not stated","2016","Number","64001"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Total persons","2011","Number","852819"
"Population Aged 15 Years and Over","Population aged 15 years and over at work","Female","Total persons","2016","Number","929967"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Agriculture, forestry and fishing (A)","2011","Number","66555"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Agriculture, forestry and fishing (A)","2016","Number","63404"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Mining and quarrying (B)","2011","Number","521"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Mining and quarrying (B)","2016","Number","464"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Manufacturing (C)","2011","Number","16877"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Manufacturing (C)","2016","Number","16310"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2011","Number","833"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2016","Number","891"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","858"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","873"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Construction (F)","2011","Number","35154"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Construction (F)","2016","Number","37339"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","36995"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","33942"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Transportation and storage (H)","2011","Number","20408"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Transportation and storage (H)","2016","Number","15790"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Accommodation and food service activities (I)","2011","Number","13894"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Accommodation and food service activities (I)","2016","Number","13492"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Information and communication (J)","2011","Number","9281"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Information and communication (J)","2016","Number","10770"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Financial and insurance activities (K)","2011","Number","4785"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Financial and insurance activities (K)","2016","Number","4743"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Real estate activities (L)","2011","Number","2898"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Real estate activities (L)","2016","Number","2827"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Professional, scientific and technical activities (M)","2011","Number","26209"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Professional, scientific and technical activities (M)","2016","Number","28638"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Administrative and support service activities (N)","2011","Number","9209"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Administrative and support service activities (N)","2016","Number","10079"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Public administration and defence; compulsory social security (O)","2011","Number","1569"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Public administration and defence; compulsory social security (O)","2016","Number","1524"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Education (P)","2011","Number","9199"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Education (P)","2016","Number","10799"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Human health and social work activities (Q)","2011","Number","11536"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Human health and social work activities (Q)","2016","Number","12643"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Arts, entertainment and recreation (R)","2011","Number","6115"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Arts, entertainment and recreation (R)","2016","Number","8049"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Other service activities (S)","2011","Number","11837"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Other service activities (S)","2016","Number","13784"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Activities of households as employers producing activities of households for own use (T)","2011","Number","151"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Activities of households as employers producing activities of households for own use (T)","2016","Number","536"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Activities of extraterritorial organisations and bodies (U)","2011","Number","30"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Activities of extraterritorial organisations and bodies (U)","2016","Number","36"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Industry not stated","2011","Number","21364"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Industry not stated","2016","Number","26471"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Total persons","2011","Number","306278"
"Population Aged 15 Years and Over","Employer or own account worker","Both sexes","Total persons","2016","Number","313404"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Agriculture, forestry and fishing (A)","2011","Number","61169"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Agriculture, forestry and fishing (A)","2016","Number","58609"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Mining and quarrying (B)","2011","Number","486"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Mining and quarrying (B)","2016","Number","438"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Manufacturing (C)","2011","Number","14147"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Manufacturing (C)","2016","Number","13183"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Electricity, gas, steam and air conditioning supply (D)","2011","Number","731"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Electricity, gas, steam and air conditioning supply (D)","2016","Number","820"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","779"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","786"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Construction (F)","2011","Number","34140"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Construction (F)","2016","Number","36285"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","28109"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","25716"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Transportation and storage (H)","2011","Number","19044"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Transportation and storage (H)","2016","Number","14574"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Accommodation and food service activities (I)","2011","Number","8566"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Accommodation and food service activities (I)","2016","Number","8117"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Information and communication (J)","2011","Number","7365"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Information and communication (J)","2016","Number","8413"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Financial and insurance activities (K)","2011","Number","3963"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Financial and insurance activities (K)","2016","Number","3859"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Real estate activities (L)","2011","Number","2225"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Real estate activities (L)","2016","Number","2093"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Professional, scientific and technical activities (M)","2011","Number","18976"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Professional, scientific and technical activities (M)","2016","Number","20268"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Administrative and support service activities (N)","2011","Number","7053"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Administrative and support service activities (N)","2016","Number","7424"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Public administration and defence; compulsory social security (O)","2011","Number","1062"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Public administration and defence; compulsory social security (O)","2016","Number","958"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Education (P)","2011","Number","3050"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Education (P)","2016","Number","3454"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Human health and social work activities (Q)","2011","Number","4928"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Human health and social work activities (Q)","2016","Number","5249"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Arts, entertainment and recreation (R)","2011","Number","3976"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Arts, entertainment and recreation (R)","2016","Number","5122"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Other service activities (S)","2011","Number","4716"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Other service activities (S)","2016","Number","4775"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Activities of households as employers producing activities of households for own use (T)","2011","Number","11"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Activities of households as employers producing activities of households for own use (T)","2016","Number","12"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Activities of extraterritorial organisations and bodies (U)","2011","Number","19"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Activities of extraterritorial organisations and bodies (U)","2016","Number","21"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Industry not stated","2011","Number","17423"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Industry not stated","2016","Number","21605"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Total persons","2011","Number","241938"
"Population Aged 15 Years and Over","Employer or own account worker","Male","Total persons","2016","Number","241781"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Agriculture, forestry and fishing (A)","2011","Number","5386"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Agriculture, forestry and fishing (A)","2016","Number","4795"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Mining and quarrying (B)","2011","Number","35"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Mining and quarrying (B)","2016","Number","26"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Manufacturing (C)","2011","Number","2730"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Manufacturing (C)","2016","Number","3127"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Electricity, gas, steam and air conditioning supply (D)","2011","Number","102"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Electricity, gas, steam and air conditioning supply (D)","2016","Number","71"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","79"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","87"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Construction (F)","2011","Number","1014"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Construction (F)","2016","Number","1054"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","8886"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","8226"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Transportation and storage (H)","2011","Number","1364"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Transportation and storage (H)","2016","Number","1216"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Accommodation and food service activities (I)","2011","Number","5328"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Accommodation and food service activities (I)","2016","Number","5375"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Information and communication (J)","2011","Number","1916"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Information and communication (J)","2016","Number","2357"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Financial and insurance activities (K)","2011","Number","822"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Financial and insurance activities (K)","2016","Number","884"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Real estate activities (L)","2011","Number","673"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Real estate activities (L)","2016","Number","734"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Professional, scientific and technical activities (M)","2011","Number","7233"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Professional, scientific and technical activities (M)","2016","Number","8370"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Administrative and support service activities (N)","2011","Number","2156"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Administrative and support service activities (N)","2016","Number","2655"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Public administration and defence; compulsory social security (O)","2011","Number","507"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Public administration and defence; compulsory social security (O)","2016","Number","566"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Education (P)","2011","Number","6149"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Education (P)","2016","Number","7345"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Human health and social work activities (Q)","2011","Number","6608"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Human health and social work activities (Q)","2016","Number","7394"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Arts, entertainment and recreation (R)","2011","Number","2139"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Arts, entertainment and recreation (R)","2016","Number","2927"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Other service activities (S)","2011","Number","7121"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Other service activities (S)","2016","Number","9009"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Activities of households as employers producing activities of households for own use (T)","2011","Number","140"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Activities of households as employers producing activities of households for own use (T)","2016","Number","524"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Activities of extraterritorial organisations and bodies (U)","2011","Number","11"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Activities of extraterritorial organisations and bodies (U)","2016","Number","15"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Industry not stated","2011","Number","3941"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Industry not stated","2016","Number","4866"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Total persons","2011","Number","64340"
"Population Aged 15 Years and Over","Employer or own account worker","Female","Total persons","2016","Number","71623"
"Population Aged 15 Years and Over","Employee","Both sexes","Agriculture, forestry and fishing (A)","2011","Number","23013"
"Population Aged 15 Years and Over","Employee","Both sexes","Agriculture, forestry and fishing (A)","2016","Number","24336"
"Population Aged 15 Years and Over","Employee","Both sexes","Mining and quarrying (B)","2011","Number","4810"
"Population Aged 15 Years and Over","Employee","Both sexes","Mining and quarrying (B)","2016","Number","4583"
"Population Aged 15 Years and Over","Employee","Both sexes","Manufacturing (C)","2011","Number","166612"
"Population Aged 15 Years and Over","Employee","Both sexes","Manufacturing (C)","2016","Number","184849"
"Population Aged 15 Years and Over","Employee","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2011","Number","10492"
"Population Aged 15 Years and Over","Employee","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2016","Number","12024"
"Population Aged 15 Years and Over","Employee","Both sexes","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","8576"
"Population Aged 15 Years and Over","Employee","Both sexes","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","9380"
"Population Aged 15 Years and Over","Employee","Both sexes","Construction (F)","2011","Number","51964"
"Population Aged 15 Years and Over","Employee","Both sexes","Construction (F)","2016","Number","64313"
"Population Aged 15 Years and Over","Employee","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","224538"
"Population Aged 15 Years and Over","Employee","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","232270"
"Population Aged 15 Years and Over","Employee","Both sexes","Transportation and storage (H)","2011","Number","57441"
"Population Aged 15 Years and Over","Employee","Both sexes","Transportation and storage (H)","2016","Number","65216"
"Population Aged 15 Years and Over","Employee","Both sexes","Accommodation and food service activities (I)","2011","Number","89268"
"Population Aged 15 Years and Over","Employee","Both sexes","Accommodation and food service activities (I)","2016","Number","103102"
"Population Aged 15 Years and Over","Employee","Both sexes","Information and communication (J)","2011","Number","59189"
"Population Aged 15 Years and Over","Employee","Both sexes","Information and communication (J)","2016","Number","79233"
"Population Aged 15 Years and Over","Employee","Both sexes","Financial and insurance activities (K)","2011","Number","88024"
"Population Aged 15 Years and Over","Employee","Both sexes","Financial and insurance activities (K)","2016","Number","86107"
"Population Aged 15 Years and Over","Employee","Both sexes","Real estate activities (L)","2011","Number","5441"
"Population Aged 15 Years and Over","Employee","Both sexes","Real estate activities (L)","2016","Number","6192"
"Population Aged 15 Years and Over","Employee","Both sexes","Professional, scientific and technical activities (M)","2011","Number","66451"
"Population Aged 15 Years and Over","Employee","Both sexes","Professional, scientific and technical activities (M)","2016","Number","84714"
"Population Aged 15 Years and Over","Employee","Both sexes","Administrative and support service activities (N)","2011","Number","51319"
"Population Aged 15 Years and Over","Employee","Both sexes","Administrative and support service activities (N)","2016","Number","60836"
"Population Aged 15 Years and Over","Employee","Both sexes","Public administration and defence; compulsory social security (O)","2011","Number","111415"
"Population Aged 15 Years and Over","Employee","Both sexes","Public administration and defence; compulsory social security (O)","2016","Number","104365"
"Population Aged 15 Years and Over","Employee","Both sexes","Education (P)","2011","Number","157892"
"Population Aged 15 Years and Over","Employee","Both sexes","Education (P)","2016","Number","165873"
"Population Aged 15 Years and Over","Employee","Both sexes","Human health and social work activities (Q)","2011","Number","185493"
"Population Aged 15 Years and Over","Employee","Both sexes","Human health and social work activities (Q)","2016","Number","210805"
"Population Aged 15 Years and Over","Employee","Both sexes","Arts, entertainment and recreation (R)","2011","Number","24474"
"Population Aged 15 Years and Over","Employee","Both sexes","Arts, entertainment and recreation (R)","2016","Number","26037"
"Population Aged 15 Years and Over","Employee","Both sexes","Other service activities (S)","2011","Number","27142"
"Population Aged 15 Years and Over","Employee","Both sexes","Other service activities (S)","2016","Number","28562"
"Population Aged 15 Years and Over","Employee","Both sexes","Activities of households as employers producing activities of households for own use (T)","2011","Number","1720"
"Population Aged 15 Years and Over","Employee","Both sexes","Activities of households as employers producing activities of households for own use (T)","2016","Number","2186"
"Population Aged 15 Years and Over","Employee","Both sexes","Activities of extraterritorial organisations and bodies (U)","2011","Number","786"
"Population Aged 15 Years and Over","Employee","Both sexes","Activities of extraterritorial organisations and bodies (U)","2016","Number","831"
"Population Aged 15 Years and Over","Employee","Both sexes","Industry not stated","2011","Number","79150"
"Population Aged 15 Years and Over","Employee","Both sexes","Industry not stated","2016","Number","132735"
"Population Aged 15 Years and Over","Employee","Both sexes","Total persons","2011","Number","1495210"
"Population Aged 15 Years and Over","Employee","Both sexes","Total persons","2016","Number","1688549"
"Population Aged 15 Years and Over","Employee","Male","Agriculture, forestry and fishing (A)","2011","Number","18086"
"Population Aged 15 Years and Over","Employee","Male","Agriculture, forestry and fishing (A)","2016","Number","19124"
"Population Aged 15 Years and Over","Employee","Male","Mining and quarrying (B)","2011","Number","4270"
"Population Aged 15 Years and Over","Employee","Male","Mining and quarrying (B)","2016","Number","4025"
"Population Aged 15 Years and Over","Employee","Male","Manufacturing (C)","2011","Number","112621"
"Population Aged 15 Years and Over","Employee","Male","Manufacturing (C)","2016","Number","127225"
"Population Aged 15 Years and Over","Employee","Male","Electricity, gas, steam and air conditioning supply (D)","2011","Number","7836"
"Population Aged 15 Years and Over","Employee","Male","Electricity, gas, steam and air conditioning supply (D)","2016","Number","8934"
"Population Aged 15 Years and Over","Employee","Male","Water supply; sewerage, waste management and remediation activities (E)","2011","Number","6948"
"Population Aged 15 Years and Over","Employee","Male","Water supply; sewerage, waste management and remediation activities (E)","2016","Number","7482"
"Population Aged 15 Years and Over","Employee","Male","Construction (F)","2011","Number","45853"
"Population Aged 15 Years and Over","Employee","Male","Construction (F)","2016","Number","58194"
"Population Aged 15 Years and Over","Employee","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2011","Number","106374"
"Population Aged 15 Years and Over","Employee","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","2016","Number","114085"
"Population Aged 15 Years and Over","Employee","Male","Transportation and storage (H)","2011","Number","43407"
"Population Aged 15 Years and Over","Employee","Male","Transportation and storage (H)","2016","Number","49363"
"Population Aged 15 Years and Over","Employee","Male","Accommodation and food service activities (I)","2011","Number","39296"
"Population Aged 15 Years and Over","Employee","Male","Accommodation and food service activities (I)","2016","Number","46914"
"Population Aged 15 Years and Over","Employee","Male","Information and communication (J)","2011","Number","38368"
"Population Aged 15 Years and Over","Employee","Male","Information and communication (J)","2016","Number","52420"
"Population Aged 15 Years and Over","Employee","Male","Financial and insurance activities (K)","2011","Number","37027"
"Population Aged 15 Years and Over","Employee","Male","Financial and insurance activities (K)","2016","Number","39197"
"Population Aged 15 Years and Over","Employee","Male","Real estate activities (L)","2011","Number","2261"
"Population Aged 15 Years and Over","Employee","Male","Real estate activities (L)","2016","Number","2550"
"Population Aged 15 Years and Over","Employee","Male","Professional, scientific and technical activities (M)","2011","Number","29297"
"Population Aged 15 Years and Over","Employee","Male","Professional, scientific and technical activities (M)","2016","Number","40313"
"Population Aged 15 Years and Over","Employee","Male","Administrative and support service activities (N)","2011","Number","26800"
"Population Aged 15 Years and Over","Employee","Male","Administrative and support service activities (N)","2016","Number","32117"
"Population Aged 15 Years and Over","Employee","Male","Public administration and defence; compulsory social security (O)","2011","Number","58452"
"Population Aged 15 Years and Over","Employee","Male","Public administration and defence; compulsory social security (O)","2016","Number","54571"
"Population Aged 15 Years and Over","Employee","Male","Education (P)","2011","Number","39041"
"Population Aged 15 Years and Over","Employee","Male","Education (P)","2016","Number","39876"
"Population Aged 15 Years and Over","Employee","Male","Human health and social work activities (Q)","2011","Number","32959"
"Population Aged 15 Years and Over","Employee","Male","Human health and social work activities (Q)","2016","Number","41396"
"Population Aged 15 Years and Over","Employee","Male","Arts, entertainment and recreation (R)","2011","Number","11799"
"Population Aged 15 Years and Over","Employee","Male","Arts, entertainment and recreation (R)","2016","Number","13530"
"Population Aged 15 Years and Over","Employee","Male","Other service activities (S)","2011","Number","6549"
"Population Aged 15 Years and Over","Employee","Male","Other service activities (S)","2016","Number","6826"
"Population Aged 15 Years and Over","Employee","Male","Activities of households as employers producing activities of households for own use (T)","2011","Number","128"
"Population Aged 15 Years and Over","Employee","Male","Activities of households as employers producing activities of households for own use (T)","2016","Number","100"
"Population Aged 15 Years and Over","Employee","Male","Activities of extraterritorial organisations and bodies (U)","2011","Number","393"
"Population Aged 15 Years and Over","Employee","Male","Activities of extraterritorial organisations and bodies (U)","2016","Number","384"
"Population Aged 15 Years and Over","Employee","Male","Industry not stated","2011","Number","42281"
"Population Aged 15 Years and Over","Employee","Male","Industry not stated","2016","Number","74032"
"Population Aged 15 Years and Over","Employee","Male","Total persons","2011","Number","710046"
"Population Aged 15 Years and Over","Employee","Male","Total persons","2016","Number","832658"
"Population Aged 15 Years and Over","Employee","Female","Agriculture, forestry and fishing (A)","2011","Number","4927"
"Population Aged 15 Years and Over","Employee","Female","Agriculture, forestry and fishing (A)","2016","Number","5212"
"Population Aged 15 Years and Over","Employee","Female","Mining and quarrying (B)","2011","Number","540"
